student_id,academic_year,online_access_count,test_scores,project_grades,assignment_completion,final_points,final_grade,graduate,semester,engagement_score
0,2022,2,17.52,13.92,12.92,15.11,B,1,1,0.34299884
1,2021,5,9.47,15.21,16.88,13.3315,C,1,2,0.472061857
2,2020,3,15.15,14.95,9.35,13.63,C,1,2,0.263817477
3,2023,4,15.0,18.88,19.48,17.478,A,0,1,0.526906689
4,2021,0,14.53,12.83,13.47,13.67,C,1,2,0.33662892
5,2022,5,17.06,18.73,18.72,18.0595,A,1,1,0.51789082
6,2023,11,17.22,16.25,15.55,16.463,B,0,2,0.498703485
7,2019,4,16.3,15.18,16.88,16.053,B,1,2,0.462080932
8,2022,1,15.33,18.38,18.39,17.1625,A,1,2,0.469659364
9,2023,4,16.04,16.11,17.14,16.3395,B,1,1,0.468581561
10,2020,11,11.77,19.48,10.91,14.2535,B,1,1,0.382750637
11,2019,7,19.54,13.19,16.78,16.6275,B,0,2,0.48952529
12,2019,2,14.36,16.62,19.17,16.3535,B,1,2,0.499210438
13,2020,7,20.0,14.68,18.53,17.7705,A,0,2,0.533286872
14,2020,3,14.97,16.23,14.39,15.266,B,1,1,0.38985341
15,2020,4,16.06,16.61,14.43,15.845,B,1,2,0.400826706
16,2019,8,20.0,17.03,19.73,18.893,A,1,1,0.573134931
17,2020,5,13.76,13.55,17.64,14.6565,B,1,2,0.49094648
18,2023,2,17.38,19.19,15.88,17.6385,A,1,2,0.416908561
19,2020,6,19.36,10.29,17.51,15.723,B,1,1,0.497830122
20,2023,1,14.34,14.68,15.03,14.6315,B,1,1,0.385746902
21,2020,6,11.41,19.41,18.2,15.9075,B,0,2,0.514887498
22,2022,6,16.92,15.64,10.23,14.7995,B,1,2,0.315627749
23,2019,4,18.22,15.07,12.01,15.565,B,0,2,0.340254805
24,2020,5,10.99,14.99,13.68,13.0625,C,0,2,0.391974366
25,2023,5,12.8,11.09,18.77,13.694,C,1,2,0.519358042
26,2020,9,18.34,17.21,14.2,16.9095,B,0,2,0.445089399
27,2022,4,17.99,20.0,17.2,18.496,A,0,2,0.469907538
28,2023,4,14.48,13.19,18.84,15.1185,B,1,1,0.5109959
29,2020,2,16.84,18.04,17.24,17.36,A,1,1,0.450888711
30,2021,5,17.0,12.74,19.27,16.0765,B,1,2,0.531668946
31,2022,2,17.41,19.08,19.21,18.4445,A,1,2,0.500256726
32,2022,1,12.82,14.88,17.49,14.7085,B,1,2,0.447304368
33,2022,6,18.63,16.97,17.25,17.704,A,1,1,0.491218769
34,2019,1,20.0,16.1,16.39,17.7325,A,1,2,0.419813468
35,2019,4,15.43,18.03,14.45,16.095,B,1,1,0.401128368
36,2023,2,8.55,17.11,17.96,13.8985,C,1,2,0.468914626
37,2019,17,9.44,14.85,15.47,12.841,C,0,1,0.556843308
38,2020,5,12.28,13.24,17.99,14.0435,B,1,1,0.499728907
39,2020,9,16.34,13.06,15.8,15.057,B,0,2,0.485037225
40,2023,5,19.57,18.91,15.05,18.209,A,1,1,0.426126864
41,2021,5,13.22,16.83,17.18,15.4735,B,1,2,0.479612495
42,2020,3,15.46,16.56,16.52,16.11,B,1,1,0.443004134
